,equity,513100.SS,513180.SS,588000.SS,518800.SS,601398.SS,601988.SS,601939.SS,601288.SS,588060.SS,159920.SZ,159952.SZ,cash
2013-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-08-02,0.987,0.5029,0.0,0.0,0.4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,1.0006,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-06,0.993,0.5033,0.0,0.0,0.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-07,0.9835,0.5017,0.0,0.0,0.4983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-08,0.9864,0.5007,0.0,0.0,0.4993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09,0.9958,0.4999,0.0,0.0,0.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,1.0006,0.4941,0.0,0.0,0.5059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-13,1.0037,0.4926,0.0,0.0,0.5074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-14,0.9982,0.4963,0.0,0.0,0.5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,1.0027,0.4921,0.0,0.0,0.5079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16,1.0033,0.4841,0.0,0.0,0.5159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,1.0065,0.4821,0.0,0.0,0.5179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-20,0.9985,0.4835,0.0,0.0,0.5165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-21,1.0043,0.4836,0.0,0.0,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-22,1.0005,0.484,0.0,0.0,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-23,1.0134,0.486,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-26,1.0231,0.4832,0.0,0.0,0.5168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-27,1.0223,0.4827,0.0,0.0,0.5173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-28,1.022,0.4728,0.0,0.0,0.5272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-29,1.0189,0.5021,0.0,0.0,0.4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-08-30,1.0212,0.5045,0.0,0.0,0.4955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-02,1.0193,0.5069,0.0,0.0,0.4931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-03,1.0191,0.5085,0.0,0.0,0.4915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-04,1.0232,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-05,1.0197,0.5102,0.0,0.0,0.4898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-06,1.0137,0.5117,0.0,0.0,0.4883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-09,1.0242,0.5114,0.0,0.0,0.4886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-10,1.0222,0.5135,0.0,0.0,0.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-11,1.0201,0.5155,0.0,0.0,0.4845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-12,1.0137,0.5193,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-13,1.0004,0.5246,0.0,0.0,0.4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-16,1.0085,0.5015,0.0,0.0,0.4985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-17,0.9992,0.5009,0.0,0.0,0.4991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-18,1.0006,0.506,0.0,0.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-23,1.0191,0.5073,0.0,0.0,0.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-24,1.0162,0.5073,0.0,0.0,0.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-25,1.0175,0.5067,0.0,0.0,0.4933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-26,1.0184,0.5062,0.0,0.0,0.4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-27,1.0213,0.51,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-09-30,1.0194,0.5038,0.0,0.0,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-08,1.0148,0.5052,0.0,0.0,0.4948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-09,1.0051,0.5033,0.0,0.0,0.4968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-10,1.0028,0.5054,0.0,0.0,0.4946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-11,1.0089,0.5134,0.0,0.0,0.4866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-14,1.0064,0.5157,0.0,0.0,0.4844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-15,1.0105,0.5203,0.0,0.0,0.4797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-16,1.0126,0.5004,0.0,0.0,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-17,1.0156,0.5068,0.0,0.0,0.4932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-18,1.034,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-21,1.0403,0.5029,0.0,0.0,0.4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-22,1.0567,0.5138,0.0,0.0,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-23,1.0551,0.5074,0.0,0.0,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-24,1.046,0.5033,0.0,0.0,0.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-25,1.0562,0.5064,0.0,0.0,0.4936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-28,1.0573,0.5068,0.0,0.0,0.4932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-29,1.0487,0.5029,0.0,0.0,0.4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-30,1.0502,0.5044,0.0,0.0,0.4956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-10-31,1.0418,0.503,0.0,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-01,1.0404,0.5046,0.0,0.0,0.4954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-04,1.0405,0.5064,0.0,0.0,0.4936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-05,1.0422,0.5074,0.0,0.0,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-06,1.0455,0.5093,0.0,0.0,0.4907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-07,1.0461,0.5091,0.0,0.0,0.4909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-08,1.0391,0.5084,0.0,0.0,0.4916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-11,1.0334,0.5126,0.0,0.0,0.4874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-12,1.0307,0.513,0.0,0.0,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-13,1.0245,0.512,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-14,1.0335,0.5153,0.0,0.0,0.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2013-11-15,1.0341,0.5141,0.0,0.0,0.4859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
